지역코드,법정동,주택유형,건축년도,대지면적,연면적,년,월,일,거래금액,거래유형,중개사소재지,해제사유발생일,해제여부,region
11110,신교동,단독,1984,196.4,54.91,2021,1,19,65000,,,,,구
11110,창성동,단독,1935,119.0,59.5,2021,1,25,93000,,,,,구
11110,체부동,단독,1999,122.3,68.79,2021,1,25,100000,,,,,구
11110,사직동,단독,1983,838.3,292.5,2021,1,20,437000,,,,,구
11110,삼청동,단독,1983,119.0,72.73,2021,1,23,115000,,,,,구
11110,이화동,단독,1960,97.7,39.67,2021,1,31,45000,,,,,구
11110,충신동,단독,1978,44.3,50.72,2021,1,11,23000,,,,,구
11110,충신동,단독,1978,19.8,18.44,2021,1,15,9500,,,21.02.10,O,구
11110,충신동,단독,1995,26.4,52.8,2021,1,25,21500,,,,,구
11110,명륜1가,단독,1992,89.9,143.56,2021,1,15,78000,,,21.05.06,O,구
11110,명륜1가,단독,1992,89.9,143.56,2021,1,15,78000,,,,,구
11110,명륜1가,단독,1999,72.7,29.75,2021,1,23,56100,,,,,구
11110,명륜3가,다가구,1996,241.3,486.2,2021,1,22,210000,,,,,구
11110,창신동,단독,1935,66.1,32.63,2021,1,9,36500,,,,,구
11110,창신동,다가구,2018,72.1,121.34,2021,1,12,64800,,,,,구
11110,창신동,단독,1985,43.0,25.53,2021,1,30,24000,,,,,구
11110,창신동,다가구,1996,119.0,213.12,2021,1,31,90500,,,,,구
11110,숭인동,다가구,1992,126.6,187.7,2021,1,7,79000,,,,,구
11110,숭인동,단독,1985,32.4,16.41,2021,1,8,26000,,,,,구
11110,숭인동,단독,1959,133.2,71.54,2021,1,12,140000,,,,,구
11110,숭인동,단독,1938,103.0,85.95,2021,1,25,71300,,,,,구
11110,숭인동,단독,1961,93.2,45.55,2021,1,25,37500,,,,,구
11110,숭인동,단독,1996,238.0,860.28,2021,1,26,350000,,,,,구
11110,숭인동,다가구,1991,62.8,111.51,2021,1,28,48000,,,,,구
11110,숭인동,단독,1977,145.0,147.76,2021,1,28,95000,,,,,구
11110,구기동,단독,1978,258.0,189.22,2021,1,6,110000,,,,,구
11110,구기동,단독,1970,56.0,26.74,2021,1,10,31400,,,,,구
11110,평창동,단독,2000,340.0,263.8,2021,1,13,195000,,,,,구
11110,평창동,단독,2009,571.0,751.08,2021,1,26,305000,,,,,구
11110,평창동,단독,2009,571.0,751.08,2021,1,26,305000,,,21.04.20,O,구
11110,부암동,단독,1970,231.0,143.51,2021,1,4,130000,,,,,구
11110,부암동,다가구,2013,107.0,266.93,2021,1,28,120500,,,,,구
11110,신영동,다가구,2001,155.0,259.26,2021,1,23,108000,,,,,구
11110,통인동,단독,1965,46.3,117.05,2021,2,8,56000,,,,,구
11110,옥인동,단독,1985,199.7,53.05,2021,2,1,92000,,,,,구
11110,옥인동,단독,1971,125.6,84.66,2021,2,9,79100,,,,,구
11110,체부동,단독,1960,39.7,20.0,2021,2,26,32500,,,,,구
11110,낙원동,단독,1994,86.0,49.16,2021,2,8,215966,,,,,구
11110,삼청동,다가구,2015,272.2,551.09,2021,2,22,540000,,,21.05.26,O,구
11110,가회동,단독,1978,112.4,46.28,2021,2,1,128000,,,,,구
11110,가회동,단독,1965,99.2,140.7,2021,2,27,118500,,,,,구
11110,재동,단독,1980,89.3,46.28,2021,2,20,94000,,,,,구
11110,재동,단독,1980,89.3,46.28,2021,2,20,94000,,,21.04.16,O,구
11110,계동,단독,1968,125.6,69.72,2021,2,1,78000,,,,,구
11110,종로6가,단독,1984,49.3,16.53,2021,2,1,18000,,,,,구
11110,충신동,단독,1966,44.5,24.0,2021,2,18,16000,,,,,구
11110,충신동,단독,1978,43.0,49.79,2021,2,26,15385,,,,,구
11110,동숭동,다가구,1994,62.2,84.7,2021,2,20,56000,,,,,구
11110,동숭동,다가구,1994,62.2,84.7,2021,2,20,56000,,,21.03.16,O,구
11110,명륜3가,단독,1976,77.38,46.31,2021,2,18,20000,,,,,구
11110,창신동,단독,1975,148.8,156.4,2021,2,2,100000,,,,,구
11110,창신동,단독,1974,193.7,181.07,2021,2,2,79900,,,,,구
11110,창신동,단독,1978,59.8,108.36,2021,2,3,36000,,,,,구
11110,창신동,다가구,1935,135.5,59.5,2021,2,3,120000,,,,,구
11110,창신동,단독,1940,60.5,29.75,2021,2,9,63000,,,,,구
11110,창신동,단독,1967,55.2,115.83,2021,2,9,60000,,,,,구
11110,창신동,단독,1967,55.2,115.83,2021,2,9,60000,,,21.03.19,O,구
11110,창신동,단독,1990,140.4,233.0,2021,2,16,256000,,,,,구
11110,창신동,단독,1987,20.6,30.79,2021,2,16,25000,,,,,구
11110,창신동,다가구,1963,142.2,139.98,2021,2,16,180000,,,,,구
11110,창신동,단독,1987,87.6,62.8,2021,2,16,101000,,,,,구
11110,구기동,단독,1971,122.0,56.03,2021,2,3,74000,,,,,구
11110,구기동,다가구,2019,241.0,535.78,2021,2,22,109600,,,,,구
11110,구기동,다가구,2019,241.0,535.78,2021,2,22,157000,,,,,구
11110,구기동,단독,2007,261.0,264.89,2021,2,25,155000,,,,,구
11110,구기동,다가구,1994,264.0,252.24,2021,2,26,150000,,,,,구
11110,평창동,단독,1982,565.0,315.75,2021,2,6,336000,,,,,구
11110,평창동,단독,1998,281.0,291.48,2021,2,23,177500,,,,,구
11110,평창동,단독,1991,454.0,278.14,2021,2,24,240000,,,,,구
11110,평창동,단독,1982,215.0,161.71,2021,2,27,109000,,,,,구
11110,평창동,다가구,1991,390.0,469.62,2021,2,28,180000,,,,,구
11110,부암동,단독,1993,410.0,98.75,2021,2,4,125000,,,,,구
11110,신영동,단독,1999,43.0,22.86,2021,2,4,33000,,,,,구
11110,신영동,단독,1970,172.0,60.17,2021,2,6,77000,,,,,구
11110,누하동,단독,1950,129.0,67.8,2021,3,9,117000,,,,,구
11110,누하동,다가구,2011,82.6,113.9,2021,3,19,117000,,,,,구
11110,옥인동,단독,1985,50.25,27.62,2021,3,10,30300,,,,,구
11110,옥인동,단독,1967,50.25,32.83,2021,3,10,30300,,,,,구
11110,사직동,단독,1950,132.2,66.12,2021,3,8,119000,,,,,구
11110,신문로2가,단독,1963,431.1,368.8,2021,3,30,670000,,,,,구
