지역코드,시군구,법정동,지번,단지,건축년도,층,전용면적,년,월,일,보증금,월세,좌표
11500,강서구,등촌동,635-5,대외그랜드오피스텔,2003,8,27.72,2022,1,6,3000,35,126.862102620418@37.5545783083403
11500,강서구,등촌동,654-61,(654-61),2004,8,24.7,2022,1,10,2450,35,126.856639839392@37.5547701947084
11500,강서구,등촌동,628-13,현대프린스텔,1999,9,28.78,2022,1,14,10000,0,126.856360978857@37.5600880436922
11500,강서구,등촌동,635-5,대외그랜드오피스텔,2003,3,27.72,2022,1,20,12000,0,126.862102620418@37.5545783083403
11500,강서구,등촌동,684-3,대룡드림타워-1,2004,10,30.32,2022,1,21,12500,0,126.841431866803@37.5666022887842
11500,강서구,등촌동,628-13,현대프린스텔,1999,8,28.78,2022,1,26,9500,0,126.856360978857@37.5600880436922
11500,강서구,등촌동,649-14,우림보보카운티뷰,2004,4,27.36,2022,1,27,5000,27,126.863420741762@37.5520638033894
11500,강서구,화곡동,982-17,크라운뷰,2009,13,51.14,2022,1,3,12000,25,126.84752158657@37.5489680502275
11500,강서구,화곡동,1075-5,(1075-5),2011,5,26.6,2022,1,10,2000,40,126.84009705317@37.5411354055911
11500,강서구,화곡동,24-118,(24-118),1997,4,25.59,2022,1,12,500,28,126.846378115342@37.5458974284924
11500,강서구,화곡동,982-17,크라운뷰,2009,12,49.22,2022,1,14,9000,30,126.84752158657@37.5489680502275
11500,강서구,화곡동,937-7,도양라비앙오피스텔,2019,2,29.34,2022,1,18,12000,40,126.839825259687@37.5293475532465
11500,강서구,화곡동,937-7,도양라비앙오피스텔,2019,7,29.34,2022,1,19,12000,40,126.839825259687@37.5293475532465
11500,강서구,화곡동,1097-6,한나일프레이즈,2010,2,28.3,2022,1,20,10000,0,126.850471157373@37.5535936081164
11500,강서구,화곡동,916-6,천우네오젠 9차 및 오피스텔,2009,4,26.39,2022,1,20,13125,0,126.842953473728@37.5293967940823
11500,강서구,화곡동,24-140,아델리아I,2012,3,39.62,2022,1,24,13500,0,126.846342413912@37.5453370235995
11500,강서구,화곡동,917-7,베스트빌(917-7),2003,5,23.37,2022,1,24,5000,0,126.844129383616@37.5294424574166
11500,강서구,화곡동,1075-15,두선빌 오피스텔,2002,4,25.02,2022,1,24,10000,0,126.840487952801@37.5409303104253
11500,강서구,화곡동,1097-6,한나일프레이즈,2010,2,28.3,2022,1,28,5000,0,126.850471157373@37.5535936081164
11500,강서구,가양동,1480-5,이스타빌1차,2002,4,27.0,2022,1,7,12000,0,126.853003378704@37.562604799047
11500,강서구,가양동,1479-8,동양 트레벨 스카이 오피스텔,2003,11,24.36,2022,1,10,11000,0,126.850919487753@37.5637379776777
11500,강서구,가양동,1480-1,이스타빌2차,2003,4,32.8,2022,1,16,10000,10,126.852691762429@37.5632568106804
11500,강서구,가양동,1479-9,휴먼빌,2004,13,25.64,2022,1,21,10000,0,126.851199212265@37.563582789378
11500,강서구,가양동,1479-9,휴먼빌,2004,14,25.64,2022,1,24,9500,0,126.851199212265@37.563582789378
11500,강서구,가양동,1480-5,이스타빌1차,2002,12,25.84,2022,1,27,8000,25,126.853003378704@37.562604799047
11500,강서구,마곡동,760-2,마곡나루역캐슬파크,2016,10,25.6,2022,1,3,10000,38,126.827465991553@37.5678538473414
11500,강서구,마곡동,776-2,마곡센트럴대방디엠시티오피스텔,2017,11,24.02,2022,1,7,10000,35,126.840297793311@37.5683002897358
11500,강서구,마곡동,739-4,마곡 헤리움1차,2015,7,24.07,2022,1,8,5000,37,126.818569096967@37.5666871272345
11500,강서구,마곡동,760-2,마곡나루역캐슬파크,2016,14,23.39,2022,1,8,7000,40,126.827465991553@37.5678538473414
11500,강서구,마곡동,776-2,마곡센트럴대방디엠시티오피스텔,2017,9,30.84,2022,1,13,10000,34,126.840297793311@37.5683002897358
11500,강서구,마곡동,758,마곡시티오피스텔,2016,2,24.4,2022,1,14,13976,0,126.825610389838@37.5692882520178
11500,강서구,마곡동,773-3,힐스테이트에코동익,2017,12,24.57,2022,1,14,5000,40,126.829003171406@37.5598870117656
11500,강서구,마곡동,795-2,마곡아이파크,2016,4,25.29,2022,1,17,10400,15,126.837589735162@37.5605543109152
11500,강서구,마곡동,760-2,마곡나루역캐슬파크,2016,9,23.39,2022,1,17,13538,0,126.827465991553@37.5678538473414
11500,강서구,마곡동,739-4,마곡 헤리움1차,2015,5,24.07,2022,1,17,13700,0,126.818569096967@37.5666871272345
11500,강서구,마곡동,795-2,마곡아이파크,2016,14,23.82,2022,1,22,6000,31,126.837589735162@37.5605543109152
11500,강서구,마곡동,760-2,마곡나루역캐슬파크,2016,11,23.39,2022,1,22,8000,28,126.827465991553@37.5678538473414
11500,강서구,마곡동,760-2,마곡나루역캐슬파크,2016,5,30.04,2022,1,24,10000,28,126.827465991553@37.5678538473414
11500,강서구,마곡동,776-4,엠코지니어스타,2015,3,24.83,2022,1,25,9000,27,126.840582292868@37.567432636651
11500,강서구,마곡동,773-3,힐스테이트에코동익,2017,13,24.57,2022,1,28,8000,22,126.829003171406@37.5598870117656
11500,강서구,마곡동,773-3,힐스테이트에코동익,2017,11,24.57,2022,1,28,8000,35,126.829003171406@37.5598870117656
11500,강서구,공항동,49-1,이스카이오피스텔,2011,10,25.41,2022,1,3,10500,0,126.809245210978@37.5612154306854
11500,강서구,공항동,45-19,대룡드림타워-Ⅱ,2005,12,25.83,2022,1,8,9500,0,126.808907666244@37.5618434902662
11500,강서구,공항동,45-19,대룡드림타워-Ⅱ,2005,5,25.83,2022,1,15,5000,20,126.808907666244@37.5618434902662
11500,강서구,공항동,49-1,이스카이오피스텔,2011,11,28.11,2022,1,17,13000,0,126.809245210978@37.5612154306854
11500,강서구,공항동,49-1,이스카이오피스텔,2011,7,24.99,2022,1,24,1000,40,126.809245210978@37.5612154306854
11500,강서구,공항동,49-1,이스카이오피스텔,2011,6,25.41,2022,1,27,10000,0,126.809245210978@37.5612154306854
11500,강서구,방화동,621-2,벤처오피스텔(621-2),2003,10,31.58,2022,1,4,3000,30,126.807752083032@37.5622848449654
11500,강서구,방화동,620-209,더스카이2,2016,3,27.37,2022,1,5,13000,10,126.806743439412@37.5639975112958
11500,강서구,방화동,829,오피앙2,2002,6,28.5,2022,1,6,500,40,126.8125052385@37.5784531305184
11500,강서구,방화동,830,오피앙,2001,7,28.5,2022,1,6,500,40,126.813294132982@37.5781707112786
11500,강서구,방화동,830-3,방화샤르망1오피스텔,2003,5,24.9,2022,1,7,500,40,126.813025742326@37.5764733766294
11500,강서구,방화동,829-5,에어뷰21-1오피스텔,1999,12,24.99,2022,1,8,1000,35,126.81282165913@37.5783740078327
11500,강서구,방화동,620-214,(620-214),2011,2,27.37,2022,1,8,11000,0,126.807147244916@37.5628357689758
11500,강서구,방화동,829,오피앙2,2002,7,37.48,2022,1,11,13000,0,126.8125052385@37.5784531305184
11500,강서구,방화동,620-214,(620-214),2011,6,27.37,2022,1,17,11250,0,126.807147244916@37.5628357689758
11500,강서구,방화동,829-5,에어뷰21-1오피스텔,1999,9,24.99,2022,1,21,500,40,126.81282165913@37.5783740078327
11500,강서구,방화동,620-209,더스카이2,2016,2,27.37,2022,1,24,13000,0,126.806743439412@37.5639975112958
11500,강서구,방화동,829-5,에어뷰21-1오피스텔,1999,5,26.86,2022,1,25,2000,29,126.81282165913@37.5783740078327
11500,강서구,방화동,830-3,방화샤르망1오피스텔,2003,3,24.9,2022,1,26,500,40,126.813025742326@37.5764733766294
11500,강서구,방화동,830-1,에어뷰21-2오피스텔,1999,8,26.91,2022,1,29,500,40,126.81295147539@37.5772813416219
11500,강서구,염창동,263-20,동남빌리지,2019,6,28.4,2022,2,9,5000,31,126.874799110157@37.5486765791003
11500,강서구,등촌동,635-5,대외그랜드오피스텔,2003,5,27.72,2022,2,3,8400,0,126.862102620418@37.5545783083403
11500,강서구,등촌동,633-24,등촌동 Y HAUS 오피스텔,2020,10,28.61,2022,2,4,13000,40,126.865876820025@37.553373829121
11500,강서구,등촌동,649-14,우림보보카운티뷰,2004,3,25.17,2022,2,10,13000,0,126.863420741762@37.5520638033894
11500,강서구,등촌동,631-17,DongNam II,2021,2,24.56,2022,2,14,1000,30,126.861872303754@37.5561404863013
11500,강서구,등촌동,642-2,신도그랑피아오피스텔,2003,6,28.98,2022,2,26,12000,0,126.858750862201@37.555588037769
11500,강서구,등촌동,635-5,대외그랜드오피스텔,2003,7,27.72,2022,2,28,3000,40,126.862102620418@37.5545783083403
11500,강서구,화곡동,924-24,리치아파트 102동,2020,3,29.88,2022,2,7,12000,32,126.841801946832@37.5297376520208
11500,강서구,화곡동,982-17,크라운뷰,2009,11,42.72,2022,2,9,13500,0,126.84752158657@37.5489680502275
11500,강서구,화곡동,1097-6,한나일프레이즈,2010,3,28.3,2022,2,9,10000,0,126.850471157373@37.5535936081164
