지역코드,시군구,법정동,지번,단지,건축년도,층,전용면적,년,월,일,보증금,월세,좌표
11500,강서구,등촌동,673-6,등촌동성원상떼뷰오피스텔,2003,5,38.98,2022,1,4,500,65,126.840035102387@37.5587721237752
11500,강서구,등촌동,631,등촌동두산위브센티움,2004,3,28.45,2022,1,6,2000,55,126.861386664814@37.5574005006316
11500,강서구,등촌동,635-5,대외그랜드오피스텔,2003,8,27.72,2022,1,6,3000,35,126.862102620418@37.5545783083403
11500,강서구,등촌동,673-6,등촌동성원상떼뷰오피스텔,2003,6,38.98,2022,1,7,1000,65,126.840035102387@37.5587721237752
11500,강서구,등촌동,649-14,우림보보카운티뷰,2004,11,25.17,2022,1,7,1000,55,126.863420741762@37.5520638033894
11500,강서구,등촌동,631,등촌동두산위브센티움,2004,6,28.45,2022,1,8,1000,65,126.861386664814@37.5574005006316
11500,강서구,등촌동,654-61,(654-61),2004,8,24.7,2022,1,10,2450,35,126.856639839392@37.5547701947084
11500,강서구,등촌동,631-17,DongNam II,2021,3,24.56,2022,1,10,3000,60,126.861872303754@37.5561404863013
11500,강서구,등촌동,631,등촌동두산위브센티움,2004,13,28.45,2022,1,12,1000,63,126.861386664814@37.5574005006316
11500,강서구,등촌동,642-2,신도그랑피아오피스텔,2003,3,46.93,2022,1,12,2000,80,126.858750862201@37.555588037769
11500,강서구,등촌동,673-6,등촌동성원상떼뷰오피스텔,2003,12,38.98,2022,1,12,1000,60,126.840035102387@37.5587721237752
11500,강서구,등촌동,628-13,현대프린스텔,1999,8,28.78,2022,1,12,1000,50,126.856360978857@37.5600880436922
11500,강서구,등촌동,628-13,현대프린스텔,1999,9,28.78,2022,1,13,500,50,126.856360978857@37.5600880436922
11500,강서구,등촌동,649-14,우림보보카운티뷰,2004,14,25.17,2022,1,13,1000,55,126.863420741762@37.5520638033894
11500,강서구,등촌동,673-6,등촌동성원상떼뷰오피스텔,2003,9,41.52,2022,1,14,1000,65,126.840035102387@37.5587721237752
